5.90.131.131	\N	2022-02-21	09:41:08	\N	\N	0	Cesena	44.1391,12.2431	social
37.163.50.45	Mozilla/5.0 (Linux; Android 11; ONEPLUS A6003) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36	2022-02-21	09:41:23	2022-02-21	09:41:51	1	Vigevano	45.3141,8.8544	social
37.163.130.229	\N	2022-02-21	09:42:58	\N	\N	0	Crispiano	40.6038,17.2329	controll
151.68.178.36	\N	2022-02-21	09:43:05	\N	\N	0	Viareggio	43.8669,10.2502	controll
185.219.140.58	\N	2022-02-21	09:47:03	\N	\N	0	Stockholm	59.3294,18.0687	controll
151.36.28.53	Mozilla/5.0 (Linux; Android 10; POT-LX1T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Mobile Safari/537.36	2022-02-21	09:48:16	2022-02-21	09:48:49	1	Milan	45.4643,9.1895	reward
151.36.28.53	Mozilla/5.0 (Linux; Android 10; POT-LX1T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Mobile Safari/537.36	2022-02-21	09:48:28	2022-02-21	09:48:49	1	Milan	45.4643,9.1895	reward
31.156.160.186	\N	2022-02-21	09:53:18	\N	\N	0	San Lazzaro	44.4705,11.4085	social
85.18.0.136	\N	2022-02-21	09:53:20	\N	\N	0	Milan	45.4643,9.1895	social
31.156.160.186	\N	2022-02-21	09:53:25	\N	\N	0	San Lazzaro	44.4705,11.4085	social
31.156.160.186	\N	2022-02-21	09:56:00	\N	\N	0	San Lazzaro	44.4705,11.4085	social
37.163.130.229	\N	2022-02-21	09:59:37	\N	\N	0	Crispiano	40.6038,17.2329	controll
157.27.183.98	\N	2022-02-21	10:03:25	\N	\N	0	Verona	45.4299,10.9844	controll
37.163.130.229	\N	2022-02-21	10:03:33	\N	\N	0	Crispiano	40.6038,17.2329	controll
37.163.130.229	\N	2022-02-21	10:20:08	\N	\N	0	Crispiano	40.6038,17.2329	controll
157.27.158.190	\N	2022-02-21	10:28:57	\N	\N	0	Verona	45.4299,10.9844	reward
157.27.132.202	\N	2022-02-21	10:56:45	\N	\N	0	Verona	45.4299,10.9844	reward
40.94.31.55	\N	2022-02-21	14:50:59	\N	\N	0	Des Moines	41.5878,-93.6274	controll
82.56.27.55	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1	2022-02-21	16:54:00	2022-02-21	17:15:15	1	Brescia	45.5356,10.2147	controll
82.56.27.55	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1	2022-02-21	16:55:21	2022-02-21	17:15:15	1	Brescia	45.5356,10.2147	controll
82.56.27.55	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1	2022-02-21	16:56:08	2022-02-21	17:15:15	1	Brescia	45.5356,10.2147	controll
82.56.27.55	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1	2022-02-21	16:56:31	2022-02-21	17:15:15	1	Brescia	45.5356,10.2147	controll
31.156.160.186	\N	2022-02-21	17:14:38	\N	\N	0	San Lazzaro	44.4705,11.4085	social
31.156.160.186	\N	2022-02-21	17:15:43	\N	\N	0	San Lazzaro	44.4705,11.4085	social
40.94.33.53	\N	2022-02-21	17:24:05	\N	\N	0	San Antonio	29.4375,-98.4616	social
78.12.130.136	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1	2022-02-21	17:27:17	2022-02-21	17:27:34	1	Verona	45.4305,11.0178	reward
54.213.27.201	\N	2022-02-21	17:43:57	\N	\N	0	Boardman	45.8399,-119.7006	social
